Recorrido 1,Recorrido 2,Recorrido 3,Recorrido 4,Recorrido 5,Recorrido 6
29.23,5.29,49.49,22.64,29.67,27.44
55.29,4.98,16.01,36.77,56.46,28.95
37.42,52.53,6.58,28.29,38.15,31.95
,9.2,35.87,23.49,,23.16
,7.77,19.82,48.94,,25.27
,32.78,12.92,44.78,,30.28
,4.88,7.23,41.58,,17.78
,6.9,17.29,36.09,,20.11
,7.87,18.22,33.29,,19.26
,8.42,14.65,49.15,,24.8
,3.91,16.12,47.45,,22.38
,4.88,1189.58,43.18,,24.22
,2.41,8.74,39.51,,16.81
,6.6,1189.47,34.83,,21.23
,56.05,63.38,32.25,,51.05
,9.2,9.55,31.99,,17.1
,7.45,56.34,29.68,,31.68
,6.92,23.41,27.52,,19.55
,12.67,1189.51,24.55,,18.84
,56.08,4.34,22.64,,27.9
,22.54,1189.46,19.18,,20.72
,22.64,36.33,19.5,,26.15
,56.05,6.27,16.32,,25.95
,35.36,3.69,11.27,,16.49
,25.81,29.15,3.69,,19.86
,17.6,1189.51,3.69,,10.02
,10.49,1189.63,7.45,,9.6
,41.12,1189.42,6.26,,23.63
,18.22,6.26,7.55,,10.78
,4.98,3.37,,,4.35
,1189.35,6.48,,,6.57
,14.65,7.77,,,11.68
,6.17,2.72,,,4.47
,5.3,2.4,,,4.33
,6.26,,,,6.42
,34.32,,,,34.16
,25.52,,,,25.58
,19.82,,,,19.89
,11.19,,,,11.07
,5.29,,,,4.85
,29.94,,,,29.3
,12.67,,,,12.36
,9.45,,,,9.12
,12.67,,,,12.0
,11.53,,,,11.44
,1189.41,,,,9.9
,1189.41,,,,11.86
,1189.32,,,,11.45
,23.21,,,,23.23
,24.36,,,,23.93
,22.83,,,,22.97
,16.75,,,,18.47
,4.88,,,,5.5
,8.14,,,,7.99
